"Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB"
"46,P,Luis Avilan*,26,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"47,P,Louis Coleman,30,61,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"48,P,Chin-hui Tsao,35,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"49,P,Adam Liberatore*,29,58,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"50,P,Yimi Garcia,25,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"51,P,Kenley Jansen#,28,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"52,P,Joe Blanton,35,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"53,P,Jesse Chavez,32,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"54,P,Casey Fien,32,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
"55,P,Josh Ravin,28,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0"
